Index,Time,Difference,Hz,AveHz,0x6103 Linear-Acceleration-X,0x6103 Linear-Acceleration-Y,0x6103 Linear-Acceleration-Z,0x6103 Range,0x6103 Smoothed Range,0x6103 Velocity,
0,1.1920928955078125e-06,1.1920928955078125e-06,838860.8,0.0,-216.0,134.0,-210.0,1088,1088.0,0.0,
1,0.028177976608276367,0.02817678451538086,35.490210015061514,35.48870857200877,54.0,85.0,-145.0,1046,1067.0,-372.64720515814594,
2,0.055908918380737305,0.027730941772460938,36.06080198087901,35.77246811287042,159.0,207.0,-65.0,1139,1103.0,462.77083307674934,
3,0.08282089233398438,0.02691197395324707,37.15818102890757,36.22274423103496,35.0,214.0,-185.0,1162,1132.5,779.4685867147614,
4,0.11294007301330566,0.03011918067932129,33.2014343499909,35.417012697776045,-128.0,271.0,-230.0,1153,1142.75,559.891644401084,
5,0.13987207412719727,0.0269320011138916,37.130549481679516,35.746949712442856,-258.0,552.0,-144.0,1167,1154.875,505.0497784332241,
6,0.16881895065307617,0.028946876525878906,34.54604157743881,35.54103361494073,-267.0,289.0,-66.0,1158,1156.4375,279.5139841989861,
7,0.19683003425598145,0.028011083602905273,35.700154059598084,35.56367820825738,-182.0,163.0,-59.0,1135,1145.71875,-51.573521063665424,
8,0.22363615036010742,0.026806116104125977,37.304919374205085,35.77239183878857,-25.0,54.0,4.0,1130,1137.859375,-172.38343588515426,
9,0.2520899772644043,0.028453826904296875,35.14465746078563,35.701538385877036,17.0,-52.0,80.0,1144,1140.9296875,-32.23917738754294,
10,0.2790820598602295,0.026992082595825195,37.04790085944194,35.83175502219033,-46.0,-112.0,14.0,1065,1102.96484375,-719.3784723908734,
11,0.30693697929382324,0.02785491943359375,35.90030128731854,35.83797568252592,-45.0,-77.0,23.0,1121,1111.982421875,-197.8223504107202,
12,0.33664393424987793,0.029706954956054688,33.66215088282504,35.64597124477775,-85.0,-63.0,80.0,1121,1116.4912109375,-23.02340634500696,
13,0.36526918411254883,0.0286252498626709,34.93419288207025,35.59019092066186,-133.0,71.0,60.0,1135,1125.74560546875,150.1356986082283,
14,0.3934190273284912,0.028149843215942383,35.524176540836294,35.58546747234593,-166.0,169.0,19.0,1195,1160.372802734375,690.1191836933273,
