Index,Time,Difference,Hz,AveHz,0x6103 Range,0x6103 Smoothed Range,0x6103 Velocity,,manual velocity,,,,,
0,0,0,0,0,924,184.8,,,2041.975223,,,-2.35E+01,,-1.05E+02
1,0.02301693,0.02301693,43.44628133,43.44628133,971,342.04,1366.298655,,-2356.150004,,,1.96E+02,,3.41E+01
2,0.037022829,0.014005899,71.39848498,54.02072319,938,461.232,2795.064569,,416.42382,,,1.37E+02,,6.58E+02
3,0.049029827,0.012006998,83.284764,61.1872441,943,557.5856,3841.009022,,3913.995314,,,-2.12E+02,,-2.83E+02
4,0.061038017,0.01200819,83.27649605,65.53292814,990,644.06848,4513.205461,,-5178.153086,,,-5.79E+02,,-1.01E+03
5,0.072045803,0.011007786,90.84479099,69.40029519,933,701.854784,4660.48131,,-1768.38598,,,-1.81E+02,,-4.43E+02
6,0.085052013,0.01300621,76.88634697,70.54506719,910,743.4838272,4368.52606,,5765.736176,,,5.26E+02,,9.11E+02
7,0.098059893,0.013007879,76.87648234,71.38494455,985,791.7870618,4237.4974,,-1265.812793,,,5.23E+02,,1.11E+03
8,0.113070011,0.015010118,66.62172594,70.75262414,966,826.6296494,3854.252585,,-1165.986696,,,1.34E+01,,-4.52E+02
9,0.125077009,0.012006998,83.284764,71.95567001,952,851.7037195,3501.05967,,1076.270753,,,-8.18E+02,,-6.19E+02
10,0.138084889,0.013007879,76.87648234,72.41922061,966,874.5629756,3152.315576,,-1768.126686,,,-1.32E+03,,-1.38E+03
11,0.151093006,0.013008118,76.87507331,72.80284033,943,888.2503805,2732.296511,,-3452.700316,,,-9.37E+02,,-1.97E+03
12,0.162098885,0.011005878,90.86053464,74.02888694,905,891.6003044,2246.712384,,-691.8756598,,,4.03E+02,,5.40E+02
13,0.175107002,0.013008118,76.87507331,74.24032067,896,892.4802435,1810.898984,,5765.736176,,,1.58E+03,,2.64E+03
14,0.188114882,0.013007879,76.87648234,74.42260754,971,908.1841948,1690.172094,,2844.377713,,,1.13E+03,,1.57E+03
15,0.201122999,0.013008118,76.87507331,74.58122671,1008,928.1473559,1659.071569,,-3914.073027,,,-1.07E+02,,-8.18E+02
16,0.213130951,0.012007952,83.27814951,75.07121763,961,934.7178847,1436.693552,,-1383.776682,,,-5.93E+02,,-1.07E+03
17,0.22613883,0.013007879,76.87648234,75.17505944,943,936.3743077,1174.822837,,2089.747027,,,-2.61E+02,,1.07E+02
18,0.237144947,0.011006117,90.85856638,75.90294554,966,942.2994462,1047.528187,,-384.3824117,,,8.84E+00,,1.80E+02
19,0.250152826,0.013007879,76.87648234,75.95356919,961,946.039557,895.5278612,,-1165.870945,,,1.42E+02,,-2.60E+02
20,0.262161017,0.01200819,83.27649605,76.28899319,947,946.2316456,719.6215822,,768.7648234,,,6.41E+01,,5.06E+02
21,0.275168896,0.013007879,76.87648234,76.31676518,957,948.3853165,608.8105941,,1915.549572,,,5.02E+00,,-5.34E+01
22,0.287175894,0.012006998,83.284764,76.60810143,980,954.7082532,592.3693336,,-2844.377713,,,-3.26E+02,,-4.38E+02
23,0.300184012,0.013008118,76.87507331,76.61967034,943,952.3666025,437.8925541,,-384.4105948,,,-2.74E+02,,-4.87E+02
24,0.313190937,0.013006926,76.88211896,76.63056992,938,949.493282,306.1326495,,1768.159094,,,-5.12E+01,,1.02E+02
25,0.326198816,0.013007879,76.87648234,76.64037621,961,951.7946256,280.2899596,,-1076.251026,,,-4.27E+01,,2.31E+02
26,0.339206934,0.013008118,76.87507331,76.64937652,947,950.8357005,209.4884799,,0,,,-1.11E+02,,-4.61E+02
27,0.351213932,0.012006998,83.284764,76.87622141,947,950.0685604,154.8125675,,-307.5059294,,,-1.88E+02,,-1.03E+02
28,0.364221811,0.013007879,76.87648234,76.87623072,943,948.6548483,102.1138116,,0,,,2.81E+02,,-9.39E-03
29,0.378229857,0.014008045,71.38754808,76.67295297,943,947.5238787,65.54361907,,307.4777509,,,4.41E+02,,9.46E+02
