b',494,-0.135,kg,\r\n'b'----------POZYX POSITIONING V1.1----------\r\n'
b',1494,-0.143,kg,\r\n'b'NOTES:\r\n'
b',2494,-0.128,kg,\r\n'b'- No parameters required.\r\n'
b',3494,-0.130,kg,\r\n'b'\r\n'
b',4494,-0.130,kg,\r\n'b'- System will auto start anchor configuration\r\n'
b',5494,-0.129,kg,\r\n'b'\r\n'
b',6494,-0.130,kg,\r\n'b'- System will auto start positioning\r\n'
b',7494,-0.132,kg,\r\n'b'----------POZYX POSITIONING V1.1----------\r\n'
b',8494,-0.132,kg,\r\n'b'\r\n'
b',9494,-0.132,kg,\r\n'b'Performing manual anchor configuration:\r\n'
b',10494,-0.131,kg,\r\n'b'list size: 4\r\n'
b',11494,-0.131,kg,\r\n'b'Calibration result:\r\n'
b',12494,-0.132,kg,\r\n'b'Anchors found: 4\r\n'
b',13494,-0.134,kg,\r\n'b'ANCHOR,0x605D,0,1669,1016\r\n'
b',14494,-0.134,kg,\r\n'b'ANCHOR,0x604F,3545,0,2595\r\n'
b',15494,-0.132,kg,\r\n'b'ANCHOR,0x6129,5182,3052,198\r\n'
b',16494,-0.133,kg,\r\n'b'ANCHOR,0x6020,3024,5886,1535\r\n'
b',17494,-0.133,kg,\r\n'b'Starting positioning: \r\n'
b',18494,-0.132,kg,\r\n'b'POS ID 0x614E, x(mm):, 1300, y(mm):, 3757, z(mm):, 609,\r\n'
b',19494,-0.133,kg,\r\n'b'POS ID 0x614E, x(mm):, 1282, y(mm):, 3764, z(mm):, 871,\r\n'
b',20494,-0.133,kg,\r\n'b'POS ID 0x614E, x(mm):, 1338, y(mm):, 3616, z(mm):, 311,\r\n'
b',21494,-0.150,kg,\r\n'b'POS ID 0x614E, x(mm):, 1321, y(mm):, 3536, z(mm):, 141,\r\n'
b',22494,-0.159,kg,\r\n'b'POS ID 0x614E, x(mm):, 1322, y(mm):, 3862, z(mm):, 1094,\r\n'
b',23494,-0.159,kg,\r\n'b'POS ID 0x614E, x(mm):, 1341, y(mm):, 3885, z(mm):, 1237,\r\n'
b',24494,-0.157,kg,\r\n'b'POS ID 0x614E, x(mm):, 1361, y(mm):, 3878, z(mm):, 1181,\r\n'
b',25494,-0.157,kg,\r\n'b'POS ID 0x614E, x(mm):, 1359, y(mm):, 3869, z(mm):, 1165,\r\n'
b',26494,-0.157,kg,\r\n'b'POS ID 0x614E, x(mm):, 1330, y(mm):, 3883, z(mm):, 1133,\r\n'
b',27494,-0.157,kg,\r\n'b'POS ID 0x614E, x(mm):, 1336, y(mm):, 3864, z(mm):, 1153,\r\n'
b',28494,-0.161,kg,\r\n'b'POS ID 0x614E, x(mm):, 1355, y(mm):, 3887, z(mm):, 1191,\r\n'
b',29494,-0.153,kg,\r\n'b'POS ID 0x614E, x(mm):, 1326, y(mm):, 3864, z(mm):, 1200,\r\n'
b',30494,-0.152,kg,\r\n'b'POS ID 0x614E, x(mm):, 1314, y(mm):, 3885, z(mm):, 1151,\r\n'
b',31494,-0.159,kg,\r\n'b'POS ID 0x614E, x(mm):, 1340, y(mm):, 3883, z(mm):, 1042,\r\n'
b',32494,-0.158,kg,\r\n'b'POS ID 0x614E, x(mm):, 1364, y(mm):, 3874, z(mm):, 1163,\r\n'
b',33494,-0.158,kg,\r\n'b'POS ID 0x614E, x(mm):, 1365, y(mm):, 3913, z(mm):, 1104,\r\n'
b',34494,-0.158,kg,\r\n'b'POS ID 0x614E, x(mm):, 1327, y(mm):, 3874, z(mm):, 1062,\r\n'
b',35494,-0.158,kg,\r\n'b'POS ID 0x614E, x(mm):, 1347, y(mm):, 3870, z(mm):, 1110,\r\n'
b',36494,-0.157,kg,\r\n'b'POS ID 0x614E, x(mm):, 1319, y(mm):, 3879, z(mm):, 1177,\r\n'
b',37494,-0.157,kg,\r\n'b'POS ID 0x614E, x(mm):, 1332, y(mm):, 3885, z(mm):, 1117,\r\n'
b',38494,-0.157,kg,\r\n'b'POS ID 0x614E, x(mm):, 1351, y(mm):, 3896, z(mm):, 1189,\r\n'
b',39494,-0.157,kg,\r\n'b'POS ID 0x614E, x(mm):, 1342, y(mm):, 3885, z(mm):, 1185,\r\n'
b',40494,-0.156,kg,\r\n'b'POS ID 0x614E, x(mm):, 1344, y(mm):, 3873, z(mm):, 1072,\r\n'
b',41494,-0.156,kg,\r\n'b'POS ID 0x614E, x(mm):, 1337, y(mm):, 3875, z(mm):, 1127,\r\n'
b',42494,-0.156,kg,\r\n'b'POS ID 0x614E, x(mm):, 1353, y(mm):, 3862, z(mm):, 1101,\r\n'
b',43494,-0.156,kg,\r\n'b'POS ID 0x614E, x(mm):, 1310, y(mm):, 3878, z(mm):, 1184,\r\n'
b',44494,-0.156,kg,\r\n'b'POS ID 0x614E, x(mm):, 1346, y(mm):, 3872, z(mm):, 1078,\r\n'
b',45494,-0.156,kg,\r\n'b'POS ID 0x614E, x(mm):, 1354, y(mm):, 3862, z(mm):, 1148,\r\n'
b',46494,-0.156,kg,\r\n'b'POS ID 0x614E, x(mm):, 1354, y(mm):, 3871, z(mm):, 1075,\r\n'
b',47494,-0.156,kg,\r\n'b'POS ID 0x614E, x(mm):, 1348, y(mm):, 3861, z(mm):, 1123,\r\n'
b',48494,-0.156,kg,\r\n'b'POS ID 0x614E, x(mm):, 1365, y(mm):, 3905, z(mm):, 1093,\r\n'
