 ,time,force,units, ,x ,y ,z, 
b'characterTime: 1.00\r\n'b',,,,\r\n',3513,3358,871,
b'Minimum time between reports: 11\r\n'b',,,,\r\n',3524,3339,817,
b',22,1.054,lbs,\r\n'b',3505,3352,793,\r\n'
b',110,1.07,lbs,\r\n'b',3522,3314,768,\r\n'
b',198,1.059,lbs,\r\n'b',3522,3296,751,\r\n'
b',286,1.054,lbs,\r\n'b',3515,3308,731,\r\n'
b',374,1.066,lbs,\r\n'b',3560,3298,750,\r\n'
b',462,1.125,lbs,\r\n'b',3520,3324,687,\r\n'
b',550,1.182,lbs,\r\n'b',3497,3326,665,\r\n'
b',638,1.224,lbs,\r\n'b',3517,3314,714,\r\n'
b',726,1.248,lbs,\r\n'b',3506,3340,700,\r\n'
b',814,1.242,lbs,\r\n'b',3498,3332,699,\r\n'
b',902,1.295,lbs,\r\n'b',3507,3362,615,\r\n'
b',990,1.37,lbs,\r\n'b',3520,3358,722,\r\n'
b',1078,1.445,lbs,\r\n'b',3508,3365,702,\r\n'
b',1166,1.504,lbs,\r\n'b',3528,3323,708,\r\n'
b',1254,1.401,lbs,\r\n'b',3528,3342,742,\r\n'
b',1342,1.425,lbs,\r\n'b',3536,3308,742,\r\n'
b',1430,1.457,lbs,\r\n'b',3522,3376,730,\r\n'
b',1518,1.357,lbs,\r\n'b',3523,3338,768,\r\n'
b',1606,1.288,lbs,\r\n'b',3514,3321,808,\r\n'
b',1694,1.351,lbs,\r\n'b',3522,3337,731,\r\n'
b',1782,1.458,lbs,\r\n'b',3528,3340,749,\r\n'
b',1870,1.448,lbs,\r\n'b',3542,3336,802,\r\n'
b',1958,1.449,lbs,\r\n'b',3514,3352,789,\r\n'
b',2046,1.481,lbs,\r\n'b',3525,3304,753,\r\n'
b',2134,1.529,lbs,\r\n'b',3493,3318,779,\r\n'
b',2222,1.549,lbs,\r\n'b',3502,3307,806,\r\n'
b',2310,1.61,lbs,\r\n'b',3467,3305,783,\r\n'
b',2398,1.618,lbs,\r\n'b',3467,3281,774,\r\n'
b',2486,1.704,lbs,\r\n'b',3482,3284,785,\r\n'
b',2574,1.678,lbs,\r\n'b',3484,3276,848,\r\n'
b',2662,1.731,lbs,\r\n'b',3490,3274,862,\r\n'
b',2750,1.823,lbs,\r\n'b',3476,3304,846,\r\n'
b',2838,1.87,lbs,\r\n'b',3459,3275,910,\r\n'
b',2926,1.827,lbs,\r\n'b',3511,3316,828,\r\n'
b',3014,1.777,lbs,\r\n'b',3534,3307,935,\r\n'
b',3102,1.815,lbs,\r\n'b',3495,3316,900,\r\n'
