Index,Time,Difference,Hz,AveHz,Pressure,Acceleration-X,Acceleration-Y,Acceleration-Z,Magnetic-X,Magnetic-Y,Magnetic-Z,Angular-Vel-X,Angular-Vel-Y,Angular-Vel-Z,Heading,Roll,Pitch,Quaternion-X,Quaternion-Y,Quaternion-Z,Quaternion-W,Linear-Acceleration-X,Linear-Acceleration-Y,Linear-Acceleration-Z,Gravity-X,Gravity-Y,Gravity-Z,Position-X,Position-Y,Position-Z
0,0,0,0,0,2.68E-38,87,-126,986,-21.875,-1.375,-21.0625,-0.0625,5.375,-125,27,-0.8125,0.625,0.003662109,-0.008728027,0.233642578,-0.972290039,97,-110,-3,-14,-11,980,3187,3277,-1
1,0.095009565,0.095009565,10.52525602,10.52525602,2.68E-38,82,-116,970,-23.25,-3.1875,-21.875,-0.875,4.6875,-124.875,37.875,-1.125,0.8125,0.003845215,-0.011901855,0.324951172,-0.945678711,99,-101,2,-19,-14,980,3158,3246,12
2,0.185018301,0.090008736,11.11003274,10.80974146,2.68E-38,72,-116,979,-22.0625,-8.75,-20.375,-0.875,4.125,-125.125,48.8125,-1.3125,1.125,0.004577637,-0.014831543,0.413391113,-0.910461426,95,-96,0,-22,-20,980,3145,3158,102
3,0.281028032,0.096009731,10.41561086,10.67509165,2.68E-38,128,-117,983,-20.5625,-15,-21.5625,-0.25,4.1875,-125.3125,60.9375,-1.5,1.5,0.004699707,-0.018066406,0.507202148,-0.861633301,92,-94,5,-25,-25,979,3123,3108,190
4,0.379037857,0.098009825,10.20305875,10.5530356,2.68E-38,86,-120,967,-15.75,-20.0625,-22.375,-0.375,5.3125,-125.4375,73.0625,-1.625,1.8125,0.004455566,-0.021118164,0.595397949,-0.803100586,96,-93,-4,-28,-31,979,3088,3122,294
5,0.471047163,0.092009306,10.86846585,10.61464837,2.68E-38,80,-122,966,-8.0625,-23.0625,-23.0625,-0.875,4.6875,-125.4375,84,-1.625,2.1875,0.004577637,-0.02355957,0.669189453,-0.742675781,99,-83,-4,-28,-37,979,3050,3107,186
6,0.553055286,0.082008123,12.19391395,10.84882497,2.68E-38,86,-133,976,-0.375,-25.6875,-25.0625,-0.75,4.1875,-125.8125,92.5,-1.5625,2.4375,0.004821777,-0.025512695,0.722473145,-0.690917969,114,-90,-2,-27,-42,979,2959,3114,142
7,0.635063648,0.082008362,12.1938785,11.02251722,2.68E-38,89,-141,970,2.0625,-24,-25.5,-0.4375,4.25,-125.8125,103.5,-1.5,2.8125,0.004821777,-0.02746582,0.785095215,-0.618713379,115,-93,-8,-25,-48,979,2910,3171,130
8,0.724072456,0.089008808,11.23484317,11.04861804,2.68E-38,62,-136,964,10.5625,-23.6875,-27.375,-0.4375,4.9375,-126.0625,114.4375,-1.3125,3.0625,0.004638672,-0.02923584,0.840637207,-0.540771484,98,-73,2,-23,-53,978,2854,3165,45
9,0.823082209,0.099009752,10.10001517,10.93450922,2.68E-38,56,-140,955,16.0625,-19.0625,-29.25,-0.5,4.5,-126.125,126.6875,-1.125,3.3125,0.004150391,-0.030822754,0.893371582,-0.448242188,92,-76,5,-19,-57,978,2813,3131,103
10,0.921092033,0.098009825,10.20305875,10.85667842,2.68E-38,70,-135,970,20.5625,-14.25,-32.5,-0.125,3.875,-126.0625,138.875,-0.875,3.5625,0.00378418,-0.032043457,0.935974121,-0.350585938,90,-69,-13,-15,-61,978,2765,3091,149
11,1.015101433,0.094009399,10.63723422,10.83635551,2.68E-38,87,-133,973,22.375,-9.25,-32,-0.1875,4.875,-126.4375,149.9375,-0.625,3.6875,0.003112793,-0.032958984,0.965270996,-0.259094238,98,-72,-11,-10,-64,978,2732,3091,225
12,1.107110739,0.092009306,10.86846585,10.83902412,2.68E-38,72,-142,970,22.875,-6,-33.1875,-0.375,4.625,-126.4375,159.6875,-0.375,3.8125,0.002441406,-0.033569336,0.983886719,-0.175720215,68,-69,0,-6,-65,978,2715,3134,278
13,1.191119194,0.084008455,11.90356372,10.91410504,2.68E-38,65,-143,978,23.25,-1.1875,-34,-0.9375,3.875,-126.6875,170.75,0,3.875,0.002319336,-0.034179688,0.996154785,-0.08026123,66,-75,0,0,-67,978,2701,3223,350
14,1.279127836,0.088008642,11.36252049,10.94495765,2.68E-38,55,-142,978,22.5625,3.75,-31.5625,-0.9375,4.0625,-126.6875,183,0.375,3.9375,0.002380371,-0.034851074,0.999023438,0.026611328,71,-76,9,6,-68,978,2597,3173,274
15,1.373137236,0.094009399,10.63723422,10.92388991,2.68E-38,88,-145,969,19.0625,6.6875,-31.5625,-0.1875,4.375,-126.4375,194.0625,0.6875,3.875,0.00213623,-0.034545898,0.991882324,0.122558594,54,-75,-4,12,-66,978,2540,3230,301
16,1.464146376,0.09100914,10.98790737,10.92786914,2.68E-38,73,-147,981,16.375,9.75,-31.5625,-0.1875,4.5625,-126.625,205.125,1,3.6875,0.00177002,-0.033752441,0.975463867,0.217468262,66,-87,-7,17,-63,978,2525,3307,294
17,1.557155609,0.093009233,10.7516207,10.91734179,2.68E-38,81,-153,974,12.6875,11.5,-30.75,-0.6875,4.375,-126.6875,216.125,1.3125,3.5,0.001525879,-0.032714844,0.950073242,0.31036377,58,-93,-4,22,-60,978,2563,3438,306
18,1.650165081,0.093009472,10.75159314,10.90799957,2.68E-38,72,-160,970,8.875,12,-29.1875,-0.5,4.75,-126.3125,227.1875,1.5625,3.25,0.001098633,-0.031738281,0.91583252,0.40032959,45,-104,-8,26,-56,978,2553,3326,131
19,1.746174574,0.096009493,10.41563673,10.88092811,2.68E-38,74,-152,984,8,12.1875,-26.375,-0.3125,4.5625,-126.4375,239.4375,1.75,2.9375,0.000610352,-0.029907227,0.867858887,0.495910645,44,-102,5,30,-50,978,2552,3428,199
20,1.839183807,0.093009233,10.7516207,10.87438891,2.68E-38,85,-147,981,7.5625,12.875,-26.375,-0.4375,3.875,-126.6875,250.5,1.875,2.5625,0.000366211,-0.027954102,0.816223145,0.577026367,53,-103,2,32,-44,979,2564,3528,234
21,1.933193207,0.094009399,10.63723422,10.8628563,2.68E-38,81,-149,975,7.5,13.6875,-25.6875,-1.0625,4.6875,-126.3125,262.75,1.9375,2.25,-0.00012207,-0.026123047,0.750061035,0.660827637,48,-111,-4,33,-38,979,2572,3431,47
22,2.032203197,0.099009991,10.09999085,10.8256891,2.68E-38,99,-147,982,6.1875,16.5625,-26.875,-0.5625,5.6875,-126.1875,274.9375,1.9375,1.9375,-0.000671387,-0.024108887,0.683288574,0.729736328,49,-116,0,33,-32,979,2609,3445,12
23,2.130212784,0.098009586,10.20308357,10.79704346,2.68E-38,93,-147,975,4,20.0625,-28.375,-0.25,5.375,-126,285.9375,1.8125,1.5,-0.000915527,-0.020996094,0.601867676,0.798339844,61,-121,-4,31,-26,979,2758,3526,-36
24,2.226222515,0.096009731,10.41561086,10.78059351,2.68E-38,84,-139,970,-3,22.1875,-29.5625,-0.9375,4.25,-125.6875,298.125,1.625,1.1875,-0.001342773,-0.018005371,0.513793945,0.857727051,55,-119,-10,28,-20,980,2791,3539,-82
25,2.317231655,0.09100914,10.98790737,10.78873575,2.68E-38,101,-133,970,-11.5,20.25,-27.5625,-0.6875,4.125,-125.5,309.0625,1.4375,0.9375,-0.001953125,-0.015380859,0.42956543,0.902893066,76,-117,-9,25,-16,980,2894,3637,-93
26,2.400239944,0.083008289,12.04698962,10.83225036,2.68E-38,104,-130,990,-15.0625,17,-23.25,-0.1875,4.375,-125.5,318.8125,1.25,0.6875,-0.00213623,-0.012573242,0.3515625,0.936096191,83,-118,9,21,-12,980,3024,3554,-78
27,2.483248234,0.083008289,12.04698962,10.87285582,2.68E-38,95,-132,967,-16.75,14.875,-22.5,0.25,5.1875,-125.3125,329.6875,0.875,0.5,-0.002380371,-0.008850098,0.260925293,0.965332031,79,-123,-13,15,-8,980,3031,3386,-34
28,2.573257208,0.090008974,11.11000331,10.88115091,2.68E-38,88,-131,974,-18.6875,12,-20.875,-0.375,4.625,-125.3125,340.625,0.5,0.375,-0.002502441,-0.005249023,0.168029785,0.985778809,79,-124,-6,9,-6,980,3114,3351,-61
29,2.664266348,0.09100914,10.98790737,10.88479762,2.68E-38,88,-126,967,-20.1875,8.375,-19.6875,-0.75,4.5625,-125.1875,351.5625,0.1875,0.3125,-0.002929688,-0.001953125,0.073547363,0.997314453,84,-120,-13,3,-6,980,3149,3342,-144
30,2.758275747,0.094009399,10.63723422,10.87636,2.68E-38,82,-125,989,-20.875,5,-19.375,-1.0625,5.3125,-125,2.4375,-0.0625,0.375,-0.003723145,0.001098633,-0.02154541,0.999755859,84,-118,8,-2,-7,980,3215,3265,-222
31,2.856285334,0.098009586,10.20308357,10.85325742,2.68E-38,66,-122,976,-20.75,2.25,-20.5,-0.4375,4.3125,-125.1875,14.5625,-0.4375,0.5,-0.004272461,0.004516602,-0.12689209,0.991882324,73,-113,-4,-7,-9,980,3248,3176,-260
32,2.952295065,0.096009731,10.41561086,10.83902499,2.68E-38,83,-124,971,-22.25,-2.0625,-20.1875,-0.1875,5.375,-124.875,26.625,-0.75,0.625,-0.004150391,0.008178711,-0.230712891,0.972961426,97,-112,-9,-13,-11,980,3218,3247,-171
33,3.044304371,0.092009306,10.86846585,10.8399148,2.68E-38,92,-128,973,-22.5625,-6.1875,-22.5,-0.8125,4.3125,-124.9375,37.5625,-1,0.875,-0.004394531,0.011230469,-0.32208252,0.946655273,110,-113,-7,-18,-15,980,3189,3169,-47
34,3.134313583,0.090009212,11.10997388,10.84767018,2.68E-38,135,-117,980,-22.5,-8.6875,-20.875,-0.8125,3.75,-124.9375,48.4375,-1.1875,1.1875,-0.005065918,0.014099121,-0.410522461,0.911743164,156,-96,0,-21,-20,980,3155,3096,54
35,3.224322319,0.090008736,11.11003274,10.85499418,2.68E-38,66,-130,977,-19.875,-14.5625,-20.875,-0.3125,4.1875,-125.3125,59.375,-1.375,1.4375,-0.005187988,0.017028809,-0.495300293,0.868530273,89,-104,-2,-23,-25,980,3116,3070,169
36,3.318331718,0.094009399,10.63723422,10.84882497,2.68E-38,78,-119,968,-14.6875,-20.0625,-23.375,-0.3125,4.75,-125.375,70.25,-1.5,1.75,-0.004882813,0.019714355,-0.575622559,0.817443848,104,-89,-11,-26,-30,979,3076,3096,289
