Index,Time,Difference,Hz,AveHz,Pressure,Acceleration-X,Acceleration-Y,Acceleration-Z,Magnetic-X,Magnetic-Y,Magnetic-Z,Angular-Vel-X,Angular-Vel-Y,Angular-Vel-Z,Heading,Roll,Pitch,Quaternion-X,Quaternion-Y,Quaternion-Z,Quaternion-W,Linear-Acceleration-X,Linear-Acceleration-Y,Linear-Acceleration-Z,Gravity-X,Gravity-Y,Gravity-Z,Position-X,Position-Y,Position-Z
0,0.0,0.0,0,0,2.4693164425567427e-38,-134.0,975.0,-50.0,31.0625,26.5,3.5625,4.3125,3.0,-3.625,270.625,-8.25,-92.625,0.435546875,0.577392578125,0.485595703125,0.4910888671875,3.0,4.0,2.0,-141.0,969.0,-45.0,18021,-3295,25828,
1,0.06447601318359375,0.06447601318359375,15.509643829132647,15.509643829132647,2.4693164425567427e-38,-146.0,978.0,-66.0,29.5625,25.75,3.0625,1.1875,4.0625,-2.4375,270.6875,-8.4375,-92.9375,0.4349365234375,0.57989501953125,0.48406982421875,0.4901123046875,-1.0,10.0,-16.0,-144.0,968.0,-49.0,14399,-2560,8872,
2,0.13306427001953125,0.0685882568359375,14.579755283648499,15.030330829654263,2.4691012031126224e-38,-138.0,971.0,-49.0,29.875,26.5,3.5625,0.9375,0.75,-0.8125,270.5625,-8.5,-93.0,0.4339599609375,0.5814208984375,0.4840087890625,0.4892578125,5.0,0.0,4.0,-146.0,968.0,-51.0,8485,1018,9872,
3,0.19898724555969238,0.06592297554016113,15.169218194509241,15.076343167432091,2.4691012031126224e-38,-140.0,971.0,-41.0,30.25,25.0,4.375,-0.0625,-1.3125,1.375,270.5625,-8.5,-93.0,0.4342041015625,0.58111572265625,0.484130859375,0.4892578125,5.0,3.0,10.0,-145.0,968.0,-51.0,3991,-1263,7374,
4,0.2652103900909424,0.06622314453125,15.100460829493088,15.082365357663301,2.4691012031126224e-38,-121.0,965.0,-35.0,29.875,27.25,3.0625,1.875,-3.625,-0.4375,270.6875,-8.4375,-93.0,0.4354248046875,0.580078125,0.4837646484375,0.48980712890625,12.0,1.0,1.0,-144.0,968.0,-51.0,1030,1296,6051,
5,0.3335561752319336,0.06834578514099121,14.631480170095198,14.989978813983344,2.4691012031126224e-38,-133.0,974.0,-52.0,30.6875,25.375,4.0,0.5625,0.0,-0.6875,270.8125,-8.4375,-93.0,0.43609619140625,0.579833984375,0.48291015625,0.49029541015625,8.0,8.0,9.0,-144.0,968.0,-51.0,-455,638,3903,
6,0.39859628677368164,0.06504011154174805,15.375127383631845,15.052824622540276,2.4691012031126224e-38,-145.0,965.0,-49.0,29.5625,25.0,2.6875,1.9375,-0.25,-0.625,270.875,-8.5,-93.125,0.4364013671875,0.5802001953125,0.4822998046875,0.49017333984375,0.0,-2.0,3.0,-145.0,968.0,-53.0,-955,1783,3745,
7,0.4680027961730957,0.06940650939941406,14.407870510319052,14.957175592196627,2.470679625702838e-38,-141.0,972.0,-59.0,30.25,25.75,3.0625,1.375,-0.25,-0.25,270.9375,-8.5,-93.1875,0.4365234375,0.58056640625,0.4818115234375,0.49017333984375,3.0,4.0,-4.0,-145.0,968.0,-54.0,-1688,970,2483,
8,0.5346226692199707,0.066619873046875,15.010535959688502,14.963824881709977,2.470679625702838e-38,-140.0,965.0,-59.0,29.875,25.75,4.375,1.3125,0.125,0.625,270.9375,-8.5,-93.25,0.43701171875,0.58087158203125,0.48138427734375,0.48974609375,3.0,-1.0,1.0,-145.0,968.0,-55.0,-1919,1836,2886,
9,0.6005780696868896,0.06595540046691895,15.161760718920462,14.985562167949514,2.470679625702838e-38,-146.0,965.0,-52.0,29.5625,25.0,3.5625,1.125,-1.625,0.4375,270.9375,-8.4375,-93.3125,0.43756103515625,0.5809326171875,0.4810791015625,0.489501953125,-1.0,-3.0,3.0,-144.0,968.0,-56.0,-1830,1148,1739,
12,0.7562384605407715,0.05085587501525879,19.663411546846067,15.868010721669766,2.470679625702838e-38,-127.0,960.0,-59.0,30.25,25.75,2.25,1.125,-0.0625,1.0,271.125,-8.4375,-93.375,0.43914794921875,0.58038330078125,0.4801025390625,0.48968505859375,16.0,-8.0,0.0,-143.0,968.0,-58.0,-1513,2123,612,
13,0.8249309062957764,0.06869244575500488,14.55764151369062,15.758895564204854,2.4689577101498756e-38,-130.0,948.0,-63.0,29.5625,25.0,1.75,2.1875,0.0,-1.3125,271.125,-8.375,-93.5625,0.43975830078125,0.58099365234375,0.47943115234375,0.4891357421875,12.0,-19.0,-2.0,-143.0,968.0,-60.0,-1068,1387,1466,
14,0.8937921524047852,0.06886124610900879,14.521956201852333,15.66359691381538,2.4689577101498756e-38,-145.0,981.0,-66.0,29.1875,25.75,2.6875,1.4375,-1.625,-2.875,271.25,-8.5,-93.6875,0.44000244140625,0.58197021484375,0.47808837890625,0.489013671875,0.0,14.0,-3.0,-145.0,967.0,-63.0,-692,2073,669,
15,0.9584617614746094,0.06466960906982422,15.463213932842754,15.650076615390738,2.4689577101498756e-38,-127.0,968.0,-57.0,29.875,25.75,2.6875,1.0,0.1875,-0.3125,271.3125,-8.5625,-93.8125,0.44024658203125,0.58251953125,0.47735595703125,0.4888916015625,18.0,1.0,7.0,-146.0,967.0,-65.0,-268,2019,613,
16,1.0253639221191406,0.06690216064453125,14.947200364921883,15.60421588359816,2.4689577101498756e-38,-130.0,971.0,-63.0,29.875,25.375,2.6875,1.5,1.3125,-1.0625,271.3125,-8.5625,-93.9375,0.4403076171875,0.58319091796875,0.47705078125,0.48834228515625,16.0,4.0,2.0,-146.0,967.0,-66.0,-6,2212,506,
17,1.0934085845947266,0.06804466247558594,14.696229852838123,15.547710379739769,2.4689577101498756e-38,-141.0,969.0,-66.0,30.25,26.5,2.25,1.75,2.0,-0.5625,271.25,-8.5625,-94.0625,0.44024658203125,0.5841064453125,0.4766845703125,0.487548828125,5.0,2.0,2.0,-146.0,967.0,-68.0,114,2279,469,
18,1.160545825958252,0.06713724136352539,14.894862816679332,15.509943336479253,2.4689577101498756e-38,-148.0,977.0,-53.0,29.5625,26.5,2.6875,0.625,1.3125,0.625,271.0625,-8.5625,-94.0625,0.43963623046875,0.5848388671875,0.47747802734375,0.486572265625,-2.0,10.0,15.0,-146.0,967.0,-69.0,191,2361,468,
19,1.2243330478668213,0.06378722190856934,15.677121060913572,15.518653223568588,2.4709666116283316e-38,-151.0,963.0,-85.0,29.5625,26.0625,2.6875,-1.1875,-1.5,1.75,271.0,-8.5,-94.0,0.4400634765625,0.5841064453125,0.47784423828125,0.48663330078125,-5.0,-3.0,-17.0,-145.0,967.0,-68.0,233,2425,508,
20,1.2922728061676025,0.06793975830078125,14.71892195395845,15.476608270750907,2.4709666116283316e-38,-136.0,959.0,-55.0,29.875,26.0625,2.25,-1.9375,-0.25,-0.125,271.0,-8.4375,-93.875,0.4398193359375,0.5831298828125,0.47857666015625,0.48736572265625,8.0,-8.0,10.0,-144.0,967.0,-65.0,279,2474,576,
21,1.361452579498291,0.06917977333068848,14.455092172966044,15.424701760628865,2.4709666116283316e-38,-121.0,972.0,-50.0,29.875,26.0625,3.0625,1.25,0.9375,-1.125,271.0,-8.4375,-93.875,0.43963623046875,0.58319091796875,0.47857666015625,0.4874267578125,23.0,4.0,15.0,-144.0,967.0,-65.0,307,2493,667,
22,1.4311861991882324,0.0697336196899414,14.340285280562355,15.37186427068566,2.4709666116283316e-38,-118.0,902.0,-50.0,30.25,26.5,2.6875,10.9375,2.8125,3.625,270.875,-8.4375,-94.25,0.44091796875,0.5853271484375,0.477294921875,0.48492431640625,25.0,-65.0,21.0,-144.0,967.0,-72.0,304,2529,758,
23,1.498577356338501,0.06739115715026855,14.838742088523627,15.347889718683781,2.4709666116283316e-38,-177.0,1000.0,-116.0,29.1875,27.25,2.6875,14.875,-1.25,2.375,270.8125,-8.1875,-95.25,0.44598388671875,0.588623046875,0.47332763671875,0.48016357421875,-8.0,34.0,-17.0,-140.0,966.0,-89.0,292,2554,845,
