Index,Time,Difference,Hz,AveHz,0x6104 Pressure,0x6104 Acceleration-X,0x6104 Acceleration-Y,0x6104 Acceleration-Z,0x6104 Magnetic-X,0x6104 Magnetic-Y,0x6104 Magnetic-Z,0x6104 Angular-Vel-X,0x6104 Angular-Vel-Y,0x6104 Angular-Vel-Z,0x6104 Heading,0x6104 Roll,0x6104 Pitch,0x6104 Quaternion-X,0x6104 Quaternion-Y,0x6104 Quaternion-Z,0x6104 Quaternion-W,0x6104 Linear-Acceleration-X,0x6104 Linear-Acceleration-Y,0x6104 Linear-Acceleration-Z,0x6104 Gravity-X,0x6104 Gravity-Y,0x6104 Gravity-Z,0x6104 Measured-X,0x6104 Measured-Y,0x6104 Measured-Z,0x6104 Smoothed-X,0x6104 Smoothed-Y,0x6104 Smoothed-Z,0x6104 Velocity-X,0x6104 Velocity-Y,0x6104 Velocity-Z,
0,0.0010004043579101562,0.0010004043579101562,999.5958055290753,0.0,102094.75,628.0,254.0,703.0,-21.25,-3.875,-40.0,-40.8125,45.1875,8.125,324.1875,40.25,-28.0625,0.29571533203125,-0.276123046875,0.2811279296875,0.87017822265625,-5.0,-97.0,43.0,634.0,352.0,659.0,-859,668,-413,-859,668,-413,-9775.047382268827,2386.035187797903,-31788.146211630123,
1,0.16101622581481934,0.07800793647766113,12.819208469722392,6.210554215511638,102097.25,510.0,370.0,675.0,-18.0,-1.25,-42.375,-18.25,-18.375,27.0,324.0625,39.0625,-24.25,0.26947021484375,-0.2716064453125,0.28497314453125,0.87884521484375,-107.0,58.0,-117.0,618.0,312.0,693.0,-1655,595,1664,-1655,595,1664,-9808.083659360353,2130.253707529155,-27290.29576198037,
2,0.7240724563598633,0.4790477752685547,2.0874744683646616,2.7621545087554082,102094.5,446.0,195.0,1068.0,-18.6875,8.75,-42.75,-48.3125,-27.625,-66.0,326.375,36.5625,-8.125,0.148681640625,-0.2840576171875,0.273681640625,0.90679931640625,-138.0,83.0,289.0,583.0,119.0,778.0,-1696,751,904,-1696,751,904,-9059.451374486232,1991.2989153634062,-25311.101994196586,
3,0.901090145111084,0.08400845527648926,11.903563715209291,3.3293006435334704,102095.0,391.0,85.0,714.0,-0.6875,3.0625,-46.5,-162.75,-107.0,-19.5625,312.5625,25.9375,-11.375,0.1746826171875,-0.16986083984375,0.3897705078125,0.88812255859375,-37.0,-88.0,-150.0,429.0,174.0,864.0,-1188,207,-284,-1188,207,-284,-7896.253820366665,1339.352421977737,-24451.037535055937,
4,1.0251026153564453,0.12401247024536133,8.063705190465754,3.9020483804044663,102095.0,393.0,248.0,658.0,-8.5625,4.6875,-44.5,151.75,263.4375,-9.8125,313.6875,24.75,-13.0,0.1820068359375,-0.156982421875,0.38140869140625,0.892578125,-17.0,47.0,-208.0,410.0,201.0,867.0,-898,433,-519,-898,433,-519,-7108.179739295332,1376.5468832099366,-22714.22039027811,
5,1.2461247444152832,0.07800793647766113,12.819208469722392,4.012439382500298,102092.0,-146.0,505.0,774.0,8.1875,-11.75,-42.5,127.625,-52.8125,-22.75,322.375,7.1875,-38.875,0.33502197265625,0.04345703125,0.303466796875,0.89093017578125,-269.0,-105.0,18.0,123.0,611.0,756.0,-1785,850,1787,-1785,850,1787,-7436.389018643162,1682.1647379570877,-18689.02112592585,
6,1.4241423606872559,0.0810079574584961,12.344466289158612,4.213061956182912,102092.0,133.0,377.0,681.0,5.1875,-16.6875,-42.0625,126.6875,-4.75,167.25,335.0625,5.375,-25.625,0.2264404296875,0.00018310546875,0.20977783203125,0.951171875,40.0,-44.0,-199.0,92.0,422.0,880.0,-1794,770,1503,-1794,770,1503,-6872.341779346026,1476.596140793175,-17519.915288040884,
7,1.5141515731811523,0.09000921249389648,11.109973882593517,4.623051036623348,102092.0,339.0,11.0,878.0,3.875,-6.25,-45.6875,-151.25,-190.9375,340.8125,315.625,21.4375,-26.375,0.27239990234375,-0.095703125,0.36114501953125,0.88671875,-19.0,-394.0,61.0,359.0,405.0,817.0,-1516,724,1437,-1516,724,1437,-6105.3513614055855,1323.5467104599543,-16227.342698133076,
8,1.6081609725952148,0.0940093994140625,10.637234215224801,4.9746263815181235,102094.75,390.0,365.0,1072.0,-1.6875,-2.0625,-46.5625,315.5625,-222.875,26.25,310.625,23.875,-19.8125,0.234130859375,-0.1239013671875,0.40240478515625,0.87628173828125,-7.0,60.0,229.0,397.0,304.0,843.0,-1624,747,1692,-1624,747,1692,-5723.698546311165,1240.472155549701,-14768.975216560892,
9,1.6981699466705322,0.09000897407531738,11.110003311039003,5.299822916808527,102094.75,388.0,313.0,773.0,-6.5625,-6.25,-44.875,-309.5625,221.5,-51.5625,311.4375,20.75,-15.1875,0.189453125,-0.114013671875,0.40093994140625,0.8890380859375,40.0,73.0,-111.0,347.0,240.0,884.0,-663,690,-580,-663,690,-580,-4460.866843238252,1096.193995040224,-15575.392544132112,
